City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Portland,US,45.5234,-122.6762,59.05,85,75,1.01,broken clouds
116,Bambous Virieux,MU,-20.3428,57.7575,79.05,65,20,5.75,few clouds
117,Verkhoyansk,RU,67.5447,133.385,30.33,76,88,11.34,overcast clouds
118,Bengkulu,ID,-3.8004,102.2655,78.44,84,75,5.86,broken clouds
119,Egvekinot,RU,66.3167,-179.1667,32.94,89,90,3.71,overcast clouds
120,Beira,MZ,-19.8436,34.8389,80.69,69,0,8.05,clear sky
121,Constitucion,CL,-35.3333,-72.4167,50.07,66,100,3.83,overcast clouds
122,Amqui,CA,48.4638,-67.4313,57.6,48,100,3.15,overcast clouds
123,Hongjiang,CN,27.11,109.9956,66.42,98,100,2.53,overcast clouds
124,Saint George,US,37.1041,-113.5841,66.79,18,0,0,clear sky
125,Catamarca,AR,-28.4696,-65.7852,61.59,68,92,1.01,overcast clouds
126,Port Alfred,ZA,-33.5906,26.891,60.19,92,61,4,light rain
127,Algiers,DZ,36.7525,3.042,67.03,63,50,12.57,light rain
128,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,72,99,6.76,overcast clouds
129,Longyearbyen,SJ,78.2186,15.6401,42.64,75,0,9.22,clear sky
130,Ikalamavony,MG,-21.15,46.5833,71.83,53,3,5.28,clear sky
131,Bluff,NZ,-46.6,168.3333,37.8,85,13,6.49,few clouds
132,Champerico,GT,14.3,-91.9167,77.54,77,100,5.39,overcast clouds
133,Kodiak,US,57.79,-152.4072,36.91,81,0,6.91,clear sky
134,Jamestown,US,42.097,-79.2353,68.02,78,100,7,overcast clouds
135,Lluta,PE,-16.0147,-72.0142,55.81,26,0,4.99,clear sky
136,Nakusp,CA,50.2499,-117.8023,48.47,100,100,0,overcast clouds
137,Beloha,MG,-25.1667,45.05,72.64,72,14,11.32,few clouds
138,Ligayan,PH,4.6533,119.4706,83.97,73,100,7.2,overcast clouds
139,Carnarvon,AU,-24.8667,113.6333,73.17,54,100,8.28,overcast clouds
140,Atherton,GB,53.5237,-2.4935,62.29,80,82,11.01,broken clouds
141,Trinidad,BO,-14.8333,-64.9,73.38,88,75,0,broken clouds
142,Kavieng,PG,-2.5744,150.7967,81,71,100,5.84,overcast clouds
143,Lethem,GY,3.3803,-59.7968,84.4,67,19,8.75,light rain
144,Bubaque,GW,11.2833,-15.8333,79.27,77,82,3.85,light rain
145,Lorengau,PG,-2.0226,147.2712,79.95,79,100,4.32,overcast clouds
146,Joshimath,IN,30.5667,79.5667,65.89,76,100,1.01,overcast clouds
147,Saldanha,ZA,-33.0117,17.9442,69.85,83,46,9.91,scattered clouds
148,Montrose,US,38.4166,-108.2673,47.53,30,0,2.48,clear sky
149,Nizhniy Baskunchak,RU,48.2198,46.8311,66.13,53,90,4.38,overcast clouds
150,Georgetown,MY,5.4112,100.3354,82.35,88,40,3.44,thunderstorm
151,Hofn,IS,64.2539,-15.2082,48.22,71,75,5.75,broken clouds
152,Broken Hill,AU,-31.95,141.4333,56.89,68,18,6.55,few clouds
153,Vanavara,RU,60.34,102.2797,42.76,67,39,5.01,scattered clouds
154,George,ZA,-33.963,22.4617,62.15,77,40,6.91,scattered clouds
155,Indramayu,ID,-6.3264,108.32,78.46,76,100,3.22,overcast clouds
156,Rio Gallegos,AR,-51.6226,-69.2181,37.45,81,0,24.16,clear sky
157,Moose Factory,CA,51.2585,-80.6094,50,93,100,9.22,overcast clouds
158,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,64,20,11.5,few clouds
159,Muroto,JP,33.2833,134.15,66.81,89,100,11.99,light rain
