City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Esmeraldas,BR,2022-05-22 03:01:45,-19.7625,-44.3139,52.2,73,0,4.36
178,Port Alfred,ZA,2022-05-22 03:04:28,-33.5906,26.891,57.22,80,4,5.84
179,Carlibaba,RO,2022-05-22 03:04:28,47.5833,25.1333,45.37,95,51,1.99
180,Sioux Lookout,CA,2022-05-22 03:00:18,50.1001,-91.917,32.34,92,98,3.76
181,Masvingo,ZW,2022-05-22 03:04:29,-20.0637,30.8277,58.57,93,89,2.55
182,Itoman,JP,2022-05-22 03:00:41,26.1247,127.6694,80.4,78,40,13.8
183,Belle Fourche,US,2022-05-22 03:04:30,44.6714,-103.8522,40.32,78,73,6.22
184,Bouca,CF,2022-05-22 03:05:30,6.5105,18.2733,71.01,88,100,1.07
185,Itarema,BR,2022-05-22 03:05:31,-2.9248,-39.9167,74.97,90,1,7.4
186,Chokurdakh,RU,2022-05-22 03:05:31,70.6333,147.9167,34.48,100,100,1.41
187,Loukhi,RU,2022-05-22 03:05:31,66.0764,33.0381,31.91,89,100,7.47
188,Saint George,US,2022-05-22 03:05:32,37.1041,-113.5841,75.79,9,0,11.5
189,Port Macquarie,AU,2022-05-22 03:05:32,-31.4333,152.9167,60.89,100,75,6.91
190,Yining,CN,2022-05-22 03:05:33,29.0361,114.5636,72.5,79,100,0.34
191,Oliver,CA,2022-05-22 03:05:33,49.1831,-119.5524,59.52,66,54,2.53
192,Chicama,PE,2022-05-22 03:05:33,-7.8447,-79.1469,59.54,85,23,6.8
193,Salalah,OM,2022-05-22 03:04:54,17.0151,54.0924,79.9,82,32,2.73
194,Kramat,ID,2022-05-22 03:05:34,-8.1311,113.4499,85.53,61,46,0.56
195,Rudsar,IR,2022-05-22 03:05:35,37.1376,50.288,61.99,67,10,7.09
196,Dikson,RU,2022-05-22 03:05:35,73.5069,80.5464,27.77,90,52,10.6
197,Muroto,JP,2022-05-22 03:05:35,33.2833,134.15,67.51,68,68,6.22
198,Elat,IL,2022-05-22 03:05:36,29.5581,34.9482,76.84,50,0,9.22
199,Isangel,VU,2022-05-22 03:05:36,-19.55,169.2667,79.25,83,59,13.62
200,Dembi Dolo,ET,2022-05-22 03:05:37,8.5333,34.8,56.8,96,96,2.55
201,Ban Nahin,LA,2022-05-22 03:05:37,18.2418,104.2122,78.24,93,100,3.91
202,Taoudenni,ML,2022-05-22 03:05:37,22.6783,-3.9836,87.31,11,0,13.76
203,Kozhva,RU,2022-05-22 03:05:38,65.1073,57.0459,32.23,81,100,12.03
204,Kaitangata,NZ,2022-05-22 03:05:38,-46.2817,169.8464,47.01,78,94,15.28
205,Pa Sang,TH,2022-05-22 03:05:39,18.5262,98.9394,84.06,64,82,1.54
206,Hamilton,US,2022-05-22 03:05:39,39.1834,-84.5333,66.6,96,40,4.61
207,Vallenar,CL,2022-05-22 03:05:40,-28.5708,-70.7581,59.45,58,8,1.81
208,Kavaratti,IN,2022-05-22 03:05:40,10.5669,72.642,83.01,79,99,18.34
209,Frontera,MX,2022-05-22 03:05:41,26.9333,-101.45,95.32,27,0,4.0
210,Lulea,SE,2022-05-22 03:05:41,65.5842,22.1547,48.27,66,100,3.44
211,Avera,US,2022-05-22 03:05:42,33.194,-82.5271,75.25,91,100,10.38
212,Vavuniya,LK,2022-05-22 03:05:42,8.7514,80.4971,84.16,67,100,10.74
213,Palauig,PH,2022-05-22 03:05:42,15.435,119.9045,84.92,70,100,10.96
214,Panchgani,IN,2022-05-22 03:05:43,17.9167,73.8167,71.98,63,40,10.76
215,Cherskiy,RU,2022-05-22 03:05:43,68.75,161.3,59.02,36,16,14.18
216,Yumen,CN,2022-05-22 03:05:44,40.2833,97.2,77.2,15,0,21.41
217,Kawalu,ID,2022-05-22 03:05:44,-7.3817,108.2082,76.37,88,96,0.72
218,Grindavik,IS,2022-05-22 03:05:44,63.8424,-22.4338,43.27,87,0,18.41
219,Alexandria,EG,2022-05-22 03:05:45,31.2156,29.9553,65.98,63,0,14.67
220,Pizarro,CO,2022-05-22 03:05:45,4.9533,-77.366,78.22,82,29,3.53
221,Chumphon,TH,2022-05-22 03:05:46,10.3333,98.8333,78.22,86,100,10.65
222,Juigalpa,NI,2022-05-22 03:05:46,12.1063,-85.3645,77.95,85,98,6.02
223,Camacha,PT,2022-05-22 03:05:46,33.0833,-16.3333,62.02,77,20,9.22
224,Indianola,US,2022-05-22 03:05:47,41.3581,-93.5574,52.77,64,89,10.67
225,Luderitz,NA,2022-05-22 03:05:47,-26.6481,15.1594,55.49,61,7,10.38
226,Nakhon Phanom,TH,2022-05-22 03:05:48,17.3333,104.4167,81.66,77,100,8.3
227,Cangucu,BR,2022-05-22 03:02:34,-31.395,-52.6756,47.77,91,100,2.35
228,Coahuayana,MX,2022-05-22 03:04:45,18.7333,-103.6833,76.1,80,55,2.95
229,Dawson Creek,CA,2022-05-22 03:05:48,55.7666,-120.2362,52.3,47,18,3.22
230,Mayor Pablo Lagerenza,PY,2022-05-22 03:05:49,-19.9309,-60.7718,68.81,37,82,4.38
231,Nome,US,2022-05-22 03:06:49,64.5011,-165.4064,66.16,44,0,6.91
232,Muzambinho,BR,2022-05-22 03:04:36,-21.3758,-46.5256,46.6,85,1,3.06
233,Beyneu,KZ,2022-05-22 03:06:50,45.3167,55.2,56.95,48,96,9.78
234,Alofi,NU,2022-05-22 03:06:50,-19.0595,-169.9187,79.23,74,24,7.74
235,Laguna,US,2022-05-22 03:06:51,38.421,-121.4238,82.38,28,0,11.5
236,Kristiinankaupunki,FI,2022-05-22 03:06:51,62.2743,21.376,44.11,63,100,6.67
237,Koslan,RU,2022-05-22 03:06:52,63.4564,48.8989,31.68,83,100,11.25
238,Misratah,LY,2022-05-22 03:06:52,32.3754,15.0925,65.53,49,0,6.78
239,Cayenne,GF,2022-05-22 03:06:53,4.9333,-52.3333,78.1,1,0,2.3
240,Snezhnogorsk,RU,2022-05-22 03:06:53,69.1933,33.2531,38.98,96,100,12.73
241,Oktyabrskiy,RU,2022-05-22 03:06:53,54.4815,53.471,38.23,86,76,11.86
242,Kurchum,KZ,2022-05-22 03:06:54,48.5722,83.6542,71.46,38,100,8.93
243,Airai,TL,2022-05-22 03:06:54,-8.9266,125.4092,74.32,47,23,4.59
244,Dhidhdhoo,MV,2022-05-22 03:06:55,6.8833,73.1,83.53,75,48,15.39
245,Honningsvag,NO,2022-05-22 03:06:55,70.9821,25.9704,40.75,87,73,2.3
246,Mirassol,BR,2022-05-22 03:06:55,-20.8192,-49.5211,53.15,55,3,5.41
247,Leningradskiy,RU,2022-05-22 03:06:56,69.3833,178.4167,34.25,96,100,11.34
248,San Cristobal,VE,2022-05-22 03:06:56,7.7669,-72.225,71.78,82,27,3.13
249,Rosignol,GY,2022-05-22 03:06:57,6.2833,-57.5333,74.41,95,100,8.08
250,Waipawa,NZ,2022-05-22 03:06:57,-41.4122,175.5153,56.89,60,9,10.98
251,Smithers,CA,2022-05-22 03:03:18,54.7804,-127.1743,60.08,40,19,3.78
252,Lorengau,PG,2022-05-22 03:06:58,-2.0226,147.2712,85.93,67,95,9.95
253,Tessalit,ML,2022-05-22 03:06:58,20.1986,1.0114,85.93,13,62,2.91
254,Genhe,CN,2022-05-22 03:06:58,50.7833,121.5167,71.15,21,100,14.76
255,Quatre Cocos,MU,2022-05-22 03:06:59,-20.2078,57.7625,70.09,76,22,11.97
256,Charters Towers,AU,2022-05-22 03:06:59,-20.1,146.2667,70.05,71,100,9.22
257,Yangambi,CD,2022-05-22 03:07:00,0.8102,24.4336,68.92,95,100,1.25
258,Broome,US,2022-05-22 03:07:00,42.2506,-75.833,77.38,75,0,8.05
259,Salinopolis,BR,2022-05-22 03:07:04,-0.6136,-47.3561,76.35,86,13,3.85
260,Yongan,CN,2022-05-22 03:07:04,39.6957,113.6871,79.39,18,82,4.29
261,Along,IN,2022-05-22 03:07:05,28.1667,94.7667,78.49,71,75,1.66
262,Havelock,US,2022-05-22 03:07:05,34.8791,-76.9013,76.95,93,100,1.99
263,Salamiyah,SY,2022-05-22 03:07:06,35.0113,37.0532,74.41,15,100,9.55
264,Erattupetta,IN,2022-05-22 03:07:06,9.7,76.7833,79.61,84,81,0.94
265,Murgab,TM,2022-05-22 03:07:06,37.4966,61.9714,63.61,48,0,5.35
266,Montmagny,FR,2022-05-22 03:06:31,48.9734,2.3469,61.16,83,0,4.61
267,Nongan,CN,2022-05-22 03:07:07,44.382,125.1685,75.09,23,85,8.01
268,Mayumba,GA,2022-05-22 03:07:08,-3.432,10.6554,73.53,87,90,4.59
269,Tiarei,PF,2022-05-22 03:07:08,-17.5333,-149.3333,84.22,73,22,10.92
270,Sistranda,NO,2022-05-22 03:07:09,63.7256,8.834,48.16,87,100,5.88
271,Key West,US,2022-05-22 03:07:09,24.5557,-81.7826,82.99,89,100,20.71
272,Huilong,CN,2022-05-22 03:07:09,31.8111,121.655,77.94,50,99,9.78
273,Coihaique,CL,2022-05-22 03:07:10,-45.5752,-72.0662,34.41,93,100,2.3
274,Christchurch,NZ,2022-05-22 03:06:48,-43.5333,172.6333,60.42,68,33,9.22
275,Kieta,PG,2022-05-22 03:07:10,-6.2167,155.6333,85.06,68,39,6.22
276,Vardo,NO,2022-05-22 03:07:11,70.3705,31.1107,39.18,87,100,17.27
277,Diamantino,BR,2022-05-22 03:07:12,-14.4086,-56.4461,63.66,47,8,3.13
278,Khorixas,NA,2022-05-22 03:07:12,-20.3667,14.9667,51.39,17,0,11.74
279,Hammerfest,NO,2022-05-22 03:08:12,70.6634,23.6821,43.25,75,20,2.3
280,Kollo,NE,2022-05-22 03:08:13,13.3043,2.339,86.56,46,70,8.08
281,San Patricio,US,2022-05-22 03:08:13,28.017,-97.5169,83.12,92,6,15.79
282,Libreville,GA,2022-05-22 03:08:14,0.3925,9.4537,75.04,90,100,8.55
283,Sobolevo,RU,2022-05-22 03:08:14,54.4299,31.8996,45.77,93,100,14.56
284,Guerrero Negro,MX,2022-05-22 03:08:15,27.9769,-114.0611,61.25,77,92,14.2
285,Mehendiganj,BD,2022-05-22 03:08:15,22.8167,90.5333,86.22,74,82,6.62
286,Darnah,LY,2022-05-22 03:08:15,32.767,22.6367,64.35,63,0,18.01
287,Inhambane,MZ,2022-05-22 03:08:16,-23.865,35.3833,69.98,91,100,4.94
288,Kerman,IR,2022-05-22 03:04:03,30.2832,57.0788,66.06,30,0,6.91
289,Bauchi,NG,2022-05-22 03:08:16,10.5,10.0,78.85,66,95,2.35
290,Yanji,CN,2022-05-22 03:08:17,42.9075,129.5078,74.98,29,17,5.39
291,The Valley,AI,2022-05-22 03:08:17,18.217,-63.0578,80.82,71,96,15.68
292,Zaraza,VE,2022-05-22 03:08:18,9.3503,-65.3245,77.54,76,1,6.73
293,Victor Harbor,AU,2022-05-22 03:08:22,-35.5667,138.6167,66.69,77,100,9.19
294,Tilichiki,RU,2022-05-22 03:08:22,60.4667,166.1,39.34,74,77,4.99
295,Severo-Kurilsk,RU,2022-05-22 03:08:22,50.6789,156.125,46.33,88,76,9.71
