City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Prata,BR,76.48,few clouds,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
196,Tual,ID,83.23,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
200,Shimanovsk,RU,60.64,clear sky,52,127.7,Гостиница Домашняя
205,Horsham,GB,67.26,broken clouds,51.064,-0.3272,Springfields Hotel
206,Taonan,CN,58.66,overcast clouds,45.3333,122.7833,Makro Hotel
208,Burnie,AU,56.95,broken clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
209,Jabinyanah,TN,84,overcast clouds,35.035,10.9081,maison belmabrouk
211,Shrewsbury,GB,64.62,broken clouds,52.7101,-2.7521,Prince Rupert Hotel
212,Namatanai,PG,79.23,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
218,Biak,ID,77.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
219,Balta,UA,70.09,overcast clouds,47.9355,29.6198,Bryhantyna Kmp
220,Cabra,ES,80.01,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
221,Brockville,CA,68.13,overcast clouds,44.5834,-75.6826,"Holiday Inn Express & Suites Brockville, an IHG Hotel"
222,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
224,Alekseyevskoye,RU,55.17,broken clouds,55.3071,50.1135,"Motel' ""Kurlyanka"""
226,Aguimes,ES,72.23,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
227,Sao Joao Da Barra,BR,73.49,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
230,Roald,NO,56.08,scattered clouds,62.5833,6.1333,Flem Cabins
233,Indianola,US,55.89,overcast clouds,41.3581,-93.5574,Quality Inn Indianola
237,Haverfordwest,GB,59.05,overcast clouds,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
238,Hasaki,JP,68.4,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
240,Port Macquarie,AU,55.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
242,At-Bashi,KG,58.01,scattered clouds,41.1702,75.8106,Hostel At-Bashy
244,Domoni,KM,80.35,scattered clouds,-12.2569,44.5319,Al Djadid
245,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
246,Saint-Lo,FR,61.23,overcast clouds,49.1162,-1.0903,Hôtel Mercure Saint-Lô Centre
